title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
What's the matter?,radio,问题,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,A,
,radio,生病的,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,B,
,radio,生病的,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,C,
,radio,发烧,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,D,
,radio,咳嗽,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,E,
,radio,伤风/感冒,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,F,
,radio,头痛,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,G,
,radio,肚子痛,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,H,
,radio,牙痛,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,I,
,radio,耳痛,matter,sick,ill,fever,cough,cold,headache,stomachache,toothache,earache,J,
,radio,喉咙痛,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,A,
,radio,疼痛,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,B,
,radio,受伤/痛,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,C,
,radio,割伤,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,D,
,radio,瘀青,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,E,
,radio,绷带,sore throat,pain,hurt,cut,bruise,bandage,headache,stomachache,toothache,earache,F,
