title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
"Where are you from?
",radio,旅行,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,A,
,radio,机场,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,B,
,radio,飞机,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,C,
,radio,边界,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,D,
,radio,邻国/邻居,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,E,
,radio,文化,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,F,
,radio,传统的,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,G,
,radio,服装,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,H,
,radio,著名的,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,I,
,radio,不同的,travel,airport,plane,border,neighbour,culture,traditional,costume,famous,different,J,
