title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
In the Past,radio,爬（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,A,
,radio,帮助（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,B,
,radio,煮（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,C,
,radio,打扫（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,D,
,radio,买（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,E,
,radio,带来（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,F,
,radio,找到（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,G,
,radio,遗失（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,H,
,radio,制作（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,I,
,radio,给（过去式）,climbed,helped,cooked,cleaned,bought,brought,found,lost,made,gave,J,
,radio,拿/拍（过去式）,took,came,ran,swam,bought,brought,found,lost,helped,cooked,A,
,radio,来（过去式）,took,came,ran,swam,bought,brought,found,lost,helped,cooked,B,
,radio,跑（过去式）,took,came,ran,swam,bought,brought,found,lost,helped,cooked,C,
,radio,游泳（过去式）,took,came,ran,swam,bought,brought,found,lost,helped,cooked,D,
